sale_id,sale_date,store,region,product,category,supplier,quantity,unit_price,unit_cost,revenue,gross_margin,member_id,is_member
5001,2025-01-01,Seattle Flagship,Puget Sound,Avalanche Beacon,Snow,Nordvik Outdoor,1,399.00,178.00,399.00,221.00,1047,Y
5002,2025-01-01,Portland Pearl,Willamette,Snowshoe Kit,Snow,Kitsap Forge,3,152.15,76.00,456.45,228.45,,N
5003,2025-01-01,Portland Pearl,Willamette,Alpaca Base Layer,Apparel,Andes Alpaca Co-op,2,78.00,29.00,156.00,98.00,1001,Y
5004,2025-01-01,Eugene,Willamette,Alpaca Base Layer,Apparel,Andes Alpaca Co-op,2,78.00,29.00,156.00,98.00,1038,Y
5005,2025-01-01,Eugene,Willamette,Backcountry Boot,Footwear,Fraser Valley Rubber,1,219.00,88.00,219.00,131.00,1056,Y
5006,2025-01-01,Bellingham,North Cascades,Snowshoe Kit,Snow,Kitsap Forge,1,179.00,76.00,179.00,103.00,1005,Y
5007,2025-01-01,Seattle Flagship,Puget Sound,Ski Skins,Snow,Nordvik Outdoor,2,169.15,84.00,338.30,170.30,1033,Y
5008,2025-01-01,Tacoma,Puget Sound,Touring Ski Package,Snow,Nordvik Outdoor,1,949.00,412.00,949.00,537.00,1051,Y
5009,2025-01-01,Boise,Inland,Summit Shell Jacket,Apparel,Cascade Textiles,1,254.15,121.00,254.15,133.15,1045,Y
5010,2025-01-01,Tacoma,Puget Sound,Avalanche Beacon,Snow,Nordvik Outdoor,1,339.15,178.00,339.15,161.15,1002,Y
5011,2025-01-02,Seattle Flagship,Puget Sound,Ridgeline 2P Tent,Camping,Cascade Textiles,1,349.00,142.00,349.00,207.00,1001,Y
5012,2025-01-02,Seattle Flagship,Puget Sound,Summit Shell Jacket,Apparel,Cascade Textiles,1,299.00,121.00,299.00,178.00,1049,Y
5013,2025-01-02,Portland Pearl,Willamette,Alpaca Base Layer,Apparel,Andes Alpaca Co-op,2,78.00,29.00,156.00,98.00,1021,Y
5014,2025-01-02,Bellingham,North Cascades,Backcountry Boot,Footwear,Fraser Valley Rubber,1,219.00,88.00,219.00,131.00,,N
5015,2025-01-02,Tacoma,Puget Sound,Nimbus 0F Sleeping Bag,Camping,Olympic Down Works,1,339.00,138.00,339.00,201.00,1055,Y
5016,2025-01-03,Eugene,Willamette,Touring Ski Package,Snow,Nordvik Outdoor,1,806.65,412.00,806.65,394.65,1033,Y
5017,2025-01-03,Bellingham,North Cascades,Backcountry Boot,Footwear,Fraser Valley Rubber,1,219.00,88.00,219.00,131.00,,N
5018,2025-01-03,Portland Pearl,Willamette,Dynamic Rope 60m,Climbing,Nordvik Outdoor,1,239.00,98.00,239.00,141.00,1004,Y
5019,2025-01-03,Spokane,Inland,Insulated Camp Bootie,Footwear,Andes Alpaca Co-op,1,59.00,22.00,59.00,37.00,1056,Y
5020,2025-01-03,Tacoma,Puget Sound,Trailhead Sleeping Pad,Camping,Sanko Technical,1,84.15,41.00,84.15,43.15,,N
5021,2025-01-03,Eugene,Willamette,Avalanche Beacon,Snow,Nordvik Outdoor,1,399.00,178.00,399.00,221.00,1024,Y
5022,2025-01-03,Portland Pearl,Willamette,Chalk Bag,Climbing,Kitsap Forge,2,26.00,9.00,52.00,34.00,1056,Y
5023,2025-01-03,Tacoma,Puget Sound,Insulated Camp Bootie,Footwear,Andes Alpaca Co-op,2,59.00,22.00,118.00,74.00,,N
5024,2025-01-04,Seattle Flagship,Puget Sound,Sun Hoody,Apparel,Cascade Textiles,1,62.00,24.00,62.00,38.00,1011,Y
5025,2025-01-04,Portland Pearl,Willamette,Nimbus 0F Sleeping Bag,Camping,Olympic Down Works,1,339.00,138.00,339.00,201.00,1011,Y
5026,2025-01-04,Boise,Inland,Fleece Quarter-Zip,Apparel,Cascade Textiles,1,79.00,31.00,79.00,48.00,1012,Y
5027,2025-01-04,Boise,Inland,Paddle Carbon,Water,Sanko Technical,1,279.00,112.00,279.00,167.00,1026,Y
5028,2025-01-05,Bellevue,Puget Sound,Fleece Quarter-Zip,Apparel,Cascade Textiles,3,79.00,31.00,237.00,144.00,1036,Y
